MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
Amores perros	Drama|Thriller	Alejandro G. Iñárritu (as Alejandro González Iñárritu)	Emilio Echevarría,	amor es traición. amor es angustia. amor es pecado. amor es egoismo. amor es esperanza. amor es dolor. amor es muerte. qué es el amor? amores perros. See more »	A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.	 $2,000,000 (estimated)	 $5,383,834 (USA)(6 July 2001)
Million Dollar Baby	Drama|Sport	Clint Eastwood	Hilary Swank,	Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.	A determined woman works with a hardened boxing trainer to become a professional.	 $30,000,000 (estimated)	 $100,422,786 (USA)(3 June 2005)
The Princess Bride	Adventure|Family|Fantasy	Rob Reiner	Cary Elwes,	Heroes, giants, villains, wizards, true love See more »	While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.	 $16,000,000 (estimated)	 $30,857,814 (USA)
Jurassic Park	Adventure|Sci-Fi|Thriller	Steven Spielberg	Sam Neill,	An adventure 65 million years in the making. See more »	During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.	 $63,000,000 (estimated)	 $356,784,000 (USA)
Hachi: A Dog's Tale	Drama|Family	Lasse Hallström	Richard Gere,	A true story of faith, devotion and undying love.	A college professor's bond with the abandoned dog he takes into his home.	 $16,000,000 (estimated)	NA
Kaze no tani no Naushika	Animation|Adventure|Fantasy	Hayao Miyazaki	Sumi Shimamoto,	A band of young warriors on the wings of their greatest challenge! (USA 1986 "Warriors of the Wind") See more »	Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.	 $1,000,000 (estimated)	NA
Zootopia	Animation|Adventure|Comedy	Byron Howard,	Ginnifer Goodwin,	Welcome to the urban jungle.	In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.	 $150,000,000 (estimated)	 $341,264,012 (USA)(29 July 2016)
Touch of Evil	Crime|Drama|Film-Noir	Orson Welles	Charlton Heston,	The Overwhelming Drama of a Strange Vengeance See more »	A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.	 $829,000 (estimated)	 $2,237,659 (USA)(1 January 1999)
The Grapes of Wrath	Drama|History	John Ford	Henry Fonda,	The thousands who have read the book will know why WE WILL NOT SELL ANY CHILDREN TICKETS to see this picture! See more »	A poor Midwest family is forced off of their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.	 $800,000 (estimated)	NA
Stalker	Drama|Sci-Fi	Andrei Tarkovsky (as Andrey Tarkovskiy)	Alisa Freyndlikh,	NA	A guide leads two men through an area known as the Zone to find a room that grants wishes.	 RUR 6,000,000 (estimated)	NA
Salinui chueok	Crime|Drama|Mystery	Joon-ho Bong (as Joon Ho Bong)	Kang-ho Song,	NA	In 1986, in the province of Gyunggi, in South Korea, a second young and beautiful woman is found dead, raped and tied and gagged with her underwear. Detective Park Doo-Man and Detective Cho...   See full summary »	 $2,800,000 (estimated)	 $14,131 (USA)(29 July 2005)
Annie Hall	Comedy|Romance	Woody Allen	Woody Allen,	A nervous romance.	Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.	 $4,000,000 (estimated)	 $39,200,000 (USA)
